Product;Type;Release Date;Process Size (nm);TDP (W);Die Size (mm^2);Transistors (million);Freq (MHz);Foundry;Vendor;FP16 GFLOPS;FP32 GFLOPS;FP64 GFLOPS
AMD Athlon 220GE;CPU;2018-12-21;140;350;1920;48000;34000;Unknown;AMD;;;
Intel Atom Z610;CPU;2010-05-04;450;10;650;1400;8000;Intel;Intel;;;
Intel Celeron 847;CPU;2011-06-19;320;170;1310;5040;11000;Intel;Intel;;;
Intel Xeon X5680;CPU;2010-02-14;320;1300;2390;11700;33330;Intel;Intel;;;
Intel Celeron D 352;CPU;2006-05-28;650;840;1090;1250;32000;Intel;Intel;;;
Intel Core M-5Y51;CPU;2014-10-27;140;50;500;;11000;Intel;Intel;;;
Intel Celeron 450;CPU;2008-08-31;650;350;770;1050;22000;Intel;Intel;;;
AMD EPYC 7443;CPU;2021-03-15;70;2000;;;28500;TSMC;AMD;;;
AMD Athlon XP 3000+;CPU;2001-01-01;1300;680;1010;630;21670;Unknown;AMD;;;
Intel Core i5-8400T;CPU;2018-04-02;140;350;;;17000;Intel;Intel;;;
Intel Celeron N2830;CPU;2014-02-23;220;70;;;21600;Intel;Intel;;;
AMD Opteron 3320 EE;CPU;2012-12-04;320;250;3150;12000;19000;Unknown;AMD;;;
AMD C-30;CPU;2011-01-04;400;90;750;;12000;Unknown;AMD;;;
AMD Ryzen 7 4800HS;CPU;2020-01-06;70;350;1560;98000;29000;TSMC;AMD;;;
AMD Turion 64 ML-44;CPU;2006-01-04;900;350;1250;1140;24000;Unknown;AMD;;;
Intel Celeron B710;CPU;2011-06-19;320;350;1310;5040;16000;Intel;Intel;;;
Intel Core i5-10400F;CPU;2020-04-30;140;650;;;29000;Intel;Intel;;;
AMD Opteron X2 880;CPU;2005-09-26;900;950;;2330;24000;Unknown;AMD;;;
Intel Core i7-4950HQ;CPU;2013-06-07;220;470;2640;14000;24000;Intel;Intel;;;
Intel Core i3-1120G4;CPU;2020-09-02;100;150;;;11000;Intel;Intel;;;
Intel Pentium SU2700;CPU;2009-06-02;450;100;1070;4100;13000;Intel;Intel;;;
Intel Pentium D 820;CPU;2005-05-26;900;1300;2060;1690;28000;Intel;Intel;;;
Intel Atom E640T;CPU;2010-09-14;450;30;260;470;10000;Intel;Intel;;;
Intel Xeon 5160;CPU;2006-06-26;650;800;;;30000;Intel;Intel;;;
AMD Opteron 848 HE;CPU;2005-03-01;900;550;;1060;22000;Unknown;AMD;;;
Intel Core i3-2312M;CPU;2011-09-01;320;350;1490;6240;21000;Intel;Intel;;;
AMD Opteron 152;CPU;2005-08-02;900;1040;;1060;26000;Unknown;AMD;;;
AMD Athlon XP 2000+;CPU;2002-06-10;1300;600;800;370;16670;Unknown;AMD;;;
AMD Opteron X2170;CPU;2016-09-01;280;250;;;24000;Unknown;AMD;;;
AMD Opteron X2 860 HE;CPU;2005-08-01;900;550;;2330;16000;Unknown;AMD;;;
AMD Phenom II X2 560 BE;CPU;2010-09-21;450;800;2580;7580;33000;Unknown;AMD;;;
Intel Pentium P6000;CPU;2010-06-20;320;350;810;3840;18770;Intel;Intel;;;
Intel Atom 330;CPU;2008-06-03;450;80;960;470;16000;Intel;Intel;;;
Intel Pentium 4 505;CPU;2004-12-01;900;840;1090;1250;26600;Intel;Intel;;;
Intel Celeron N2940;CPU;2014-05-22;220;70;;;18300;Intel;Intel;;;
Intel Pentium 2020M;CPU;2012-09-01;220;350;1180;14000;24000;Intel;Intel;;;
AMD FX-6300;CPU;2012-10-23;320;950;3150;12000;35000;Unknown;AMD;;;
AMD Athlon II X2 280;CPU;2013-02-06;450;650;1170;4100;36000;Unknown;AMD;;;
AMD Opteron 6366 HE;CPU;2012-11-05;320;850;3150;24000;18000;Unknown;AMD;;;
Intel Pentium III 1133;CPU;2001-07-01;1300;290;800;440;11330;Intel;Intel;;;
Intel Pentium D 920;CPU;2006-01-16;650;1300;1400;3760;28000;Intel;Intel;;;
Intel Pentium 4 HT EE 3.73;CPU;2005-02-21;900;1150;1090;1690;37330;Intel;Intel;;;
Intel Atom Z615;CPU;2010-05-04;450;20;650;1400;16000;Intel;Intel;;;
AMD Opteron A1120;CPU;2016-01-14;280;250;;;17000;Unknown;AMD;;;
AMD Athlon 64 3200+;CPU;2007-02-20;650;450;770;1220;20000;Unknown;AMD;;;
Intel Xeon Platinum 8268;CPU;2018-12-11;140;2050;;80000;29000;Intel;Intel;;;
Intel Core i5-5350U;CPU;2015-03-01;140;150;;;18000;Intel;Intel;;;
Intel Xeon Gold 5318H;CPU;2021-04-06;140;1500;;;25000;Intel;Intel;;;
Intel Xeon E5530;CPU;2009-03-30;450;800;2630;7310;24000;Intel;Intel;;;
Intel Core 2 Extreme QX9770;CPU;2008-03-24;450;1360;1070;8200;32000;Intel;Intel;;;
AMD Opteron 840 EE;CPU;2004-05-18;1300;300;1930;1060;14000;Unknown;AMD;;;
Intel Atom E660T;CPU;2010-09-14;450;30;260;470;13000;Intel;Intel;;;
AMD A8-3520M;CPU;2011-12-20;320;350;2280;11780;16000;Unknown;AMD;;;
Intel Core i5-8259U;CPU;2018-04-05;140;280;1230;;23000;Intel;Intel;;;
AMD Athlon X2 QL-64;CPU;2008-12-01;650;350;;;21000;Unknown;AMD;;;
Intel Core i7-620M;CPU;2010-01-07;320;350;810;3840;26770;Intel;Intel;;;
AMD Athlon 64 X2 5600+;CPU;2008-02-01;650;650;1260;1540;29000;Unknown;AMD;;;
Intel Core i9-11900;CPU;2021-03-16;140;650;;;25000;Intel;Intel;;;
AMD Sempron 2800+;CPU;2001-01-01;1300;620;1010;630;20000;Unknown;AMD;;;
Intel Core i5-3365M;CPU;2012-11-01;220;350;1600;;28000;Intel;Intel;;;
AMD Phenom II X3 720 BE;CPU;2009-02-09;450;950;2580;7580;28000;Unknown;AMD;;;
AMD EPYC 7252;CPU;2019-08-07;70;1200;740;38000;28000;TSMC;AMD;;;
AMD Athlon X2 BE-2300;CPU;2007-10-08;650;450;1260;1540;19000;Unknown;AMD;;;
Intel Core i7-4771;CPU;2013-09-01;220;840;1770;14000;35000;Intel;Intel;;;
Intel Pentium D 955 EE;CPU;2006-01-16;650;1300;1400;3760;34600;Intel;Intel;;;
Intel Core i7-4712HQ;CPU;2014-04-01;220;370;2640;14000;23000;Intel;Intel;;;
AMD Sempron 3000+;CPU;2005-02-15;1300;620;1440;690;18000;Unknown;AMD;;;
Intel Xeon 3.0;CPU;2005-02-14;900;1350;1690;1780;30000;Intel;Intel;;;
Intel Core i5-2430M;CPU;2011-10-01;320;350;1490;6240;24000;Intel;Intel;;;
Intel Xeon Gold 5320H;CPU;2021-04-06;140;1500;;;24000;Intel;Intel;;;
AMD Athlon 64 X2 5400+;CPU;2008-01-01;650;650;1260;1540;28000;Unknown;AMD;;;
AMD A6-4400M;CPU;2012-05-15;320;350;2460;11780;27000;Unknown;AMD;;;
AMD Ryzen 5 4600G;CPU;2020-07-21;70;650;;;37000;TSMC;AMD;;;
Intel Xeon Gold 6354;CPU;2021-04-06;100;2050;;;30000;Intel;Intel;;;
AMD Ryzen 7 PRO 2700U;CPU;2017-10-26;140;150;2460;;22000;GF;AMD;;;
Intel Xeon Platinum 8380HL;CPU;2021-04-06;140;2500;;;29000;Intel;Intel;;;
AMD Athlon 64 X2 5000+ BE;CPU;2007-09-25;650;650;1260;1540;26000;Unknown;AMD;;;
AMD E1-2500;CPU;2013-05-23;320;150;2460;11780;14000;Unknown;AMD;;;
AMD Opteron X2 890;CPU;2006-03-06;900;950;;2330;28000;Unknown;AMD;;;
Intel Core i3-2330M;CPU;2011-06-01;320;350;1490;6240;22000;Intel;Intel;;;
Intel Core 2 Duo E6850;CPU;2007-07-01;650;750;1430;2910;30000;Intel;Intel;;;
AMD A8-3870K;CPU;2011-12-20;320;1000;2280;11780;30000;Unknown;AMD;;;
AMD Sempron 2800+;CPU;2004-07-28;1300;620;800;370;19920;Unknown;AMD;;;
Intel Core i7-8670;CPU;2018-01-01;140;650;;;31000;Intel;Intel;;;
AMD Ryzen 5 1600X;CPU;2017-04-11;140;950;1920;48000;36000;GF;AMD;;;
Intel Pentium 4 HT 515;CPU;2001-01-01;900;840;1090;1250;29330;Intel;Intel;;;
Intel Pentium Gold G5600;CPU;2018-04-02;140;510;;;39000;Intel;Intel;;;
Intel Aubrey Isle;CPU;2010-05-31;450;3000;6840;23000;12000;Intel;Intel;;;
AMD Athlon 64 2000+;CPU;2008-06-01;650;80;770;1220;10000;Unknown;AMD;;;
Intel Core i5-580M;CPU;2010-09-26;320;350;810;3820;26670;Intel;Intel;;;
AMD Athlon 64 3200+;CPU;2004-04-27;1300;890;1440;690;22000;Unknown;AMD;;;
Intel Core i3-6320;CPU;2015-09-01;140;510;1500;14000;39000;Intel;Intel;;;
Intel Core 2 Duo T7700;CPU;2007-05-27;650;350;1430;2930;24000;Intel;Intel;;;
AMD A8-3820;CPU;2011-12-20;320;650;2280;11780;25000;Unknown;AMD;;;
Intel Core 2 Duo T7200;CPU;2006-07-27;650;350;1430;2930;20000;Intel;Intel;;;
Intel Core i3-1110G4;CPU;2020-09-02;100;150;;;18000;Intel;Intel;;;
Intel Mobile Pentium 4 3.06;CPU;2003-06-11;1300;700;1310;550;30670;Intel;Intel;;;
AMD Ryzen 7 4800H;CPU;2020-01-06;70;540;1560;98000;29000;TSMC;AMD;;;
AMD Ryzen 5 2500X;CPU;2018-10-01;120;650;1920;48000;36000;GF;AMD;;;
Intel Pentium 4 2.2;CPU;2002-01-07;1300;920;1460;550;22000;Intel;Intel;;;
Intel Celeron E1500;CPU;2008-11-30;650;650;770;1050;22000;Intel;Intel;;;
Intel Pentium G620;CPU;2011-05-22;320;650;1310;5040;26000;Intel;Intel;;;
AMD Phenom X4 9850B;CPU;2008-08-15;650;950;2850;4500;25000;Unknown;AMD;;;
Intel Pentium 4 2.0;CPU;2001-08-27;1800;720;2170;420;20000;Intel;Intel;;;
Intel Core i7-9800X;CPU;2018-10-19;140;1650;;;38000;Intel;Intel;;;
AMD Athlon 64 X2 4400+;CPU;2006-12-05;650;650;1260;1540;23000;Unknown;AMD;;;
Intel Celeron E1600;CPU;2009-05-31;650;650;770;1050;24000;Intel;Intel;;;
AMD Phenom X3 8650;CPU;2008-04-23;650;950;2850;4500;23000;Unknown;AMD;;;
AMD Opteron 246;CPU;2003-08-05;1300;890;1930;1060;20000;Unknown;AMD;;;
AMD Athlon Silver 3050GE;CPU;2020-07-21;120;350;;;34000;GF;AMD;;;
Intel Pentium Gold G5400;CPU;2018-04-02;140;510;;;37000;Intel;Intel;;;
Intel Core i5-10400H;CPU;2020-04-02;140;450;;;26000;Intel;Intel;;;
AMD Athlon II X4 645;CPU;2010-09-21;450;950;1690;3000;31000;Unknown;AMD;;;
Intel Xeon MP 3.33;CPU;2005-03-29;900;1350;;;33340;Intel;Intel;;;
AMD A10-5750M;CPU;2013-06-01;320;350;2460;11780;25000;Unknown;AMD;;;
Intel Core 2 Quad Q9100;CPU;2008-08-01;450;450;1070;;22670;Intel;Intel;;;
Intel Xeon X5672;CPU;2011-02-14;320;950;2390;11700;32000;Intel;Intel;;;
Intel Atom Z510P;CPU;2009-03-02;450;20;260;470;11000;Intel;Intel;;;
AMD EPYC 7713P;CPU;2021-03-15;70;2250;;;20000;TSMC;AMD;;;
AMD EPYC 7351P;CPU;2017-06-29;140;1700;2130;48000;24000;GF;AMD;;;
Intel Core i7-3740QM;CPU;2012-09-03;220;450;1600;14000;27000;Intel;Intel;;;
AMD Sempron 3300+;CPU;2001-01-01;1300;620;1010;630;22000;Unknown;AMD;;;
AMD Athlon XP 1500+;CPU;2001-10-09;1800;600;1500;630;13330;Unknown;AMD;;;
Intel Core i5-3610ME;CPU;2012-06-01;220;350;1180;;27000;Intel;Intel;;;
Intel Celeron G1820T;CPU;2013-12-01;220;540;1770;14000;24000;Intel;Intel;;;
Intel Xeon Phi 3120P;CPU;2013-06-17;220;3000;3500;50000;11000;Intel;Intel;;;
AMD Sempron X2 2300;CPU;2008-03-01;650;650;1180;2210;22000;Unknown;AMD;;;
AMD Opteron X2 865;CPU;2005-09-26;900;950;;2330;18000;Unknown;AMD;;;
Intel Xeon E3-1220;CPU;2011-04-03;320;800;2160;11600;31000;Intel;Intel;;;
AMD A8-5500;CPU;2012-10-02;320;650;2460;11780;32000;Unknown;AMD;;;
AMD Phenom II X3 720;CPU;2010-01-01;450;950;2580;7580;28000;Unknown;AMD;;;
Intel Xeon W3520;CPU;2009-03-30;450;1300;2630;7310;26660;Intel;Intel;;;
Intel Core i7-4820K;CPU;2013-09-01;220;1300;2570;18600;37000;Intel;Intel;;;
Intel Core M-5Y10c;CPU;2014-10-27;140;50;500;;8000;Intel;Intel;;;
Intel Xeon E5503;CPU;2010-03-16;450;800;2630;7310;20000;Intel;Intel;;;
AMD EPYC 7453;CPU;2021-03-15;70;2250;;;27500;TSMC;AMD;;;
AMD Ryzen Threadripper PRO 3975WX;CPU;2020-07-14;70;2800;740;38000;35000;TSMC;AMD;;;
AMD Ryzen Threadripper PRO 3945WX;CPU;2020-07-14;70;2800;740;38000;40000;TSMC;AMD;;;
Intel Xeon Gold 6330H;CPU;2021-04-06;140;1500;;;20000;Intel;Intel;;;
Intel Core i5-5257U;CPU;2015-03-01;140;280;;;27000;Intel;Intel;;;
Intel Core i7-7700T;CPU;2017-01-03;140;350;;;29000;Intel;Intel;;;
Intel Core i3-7320T;CPU;2017-07-17;140;350;;;36000;Intel;Intel;;;
Intel Celeron G3930;CPU;2017-01-03;140;510;;;29000;Intel;Intel;;;
AMD Athlon 64 X2 6400+ BE;CPU;2007-08-20;900;1250;2300;2270;32000;Unknown;AMD;;;
Intel Core i3-9320;CPU;2019-04-23;140;620;;;37000;Intel;Intel;;;
Intel Core 2 Extreme QX6850;CPU;2007-07-15;650;1300;1430;5820;30000;Intel;Intel;;;
Intel Core 2 Duo E8200;CPU;2008-01-01;450;650;1070;4100;26670;Intel;Intel;;;
Intel Xeon Platinum 8260M;CPU;2018-12-11;140;1650;;80000;24000;Intel;Intel;;;
AMD Opteron 844;CPU;2004-05-18;1300;820;1930;1060;18000;Unknown;AMD;;;
AMD Athlon 64 LE-1600;CPU;2007-10-08;900;450;2300;2270;22000;Unknown;AMD;;;
AMD Athlon 64 3400+;CPU;2004-04-27;1300;890;1440;690;22000;Unknown;AMD;;;
Intel Core i5-760;CPU;2010-07-18;450;950;2960;7740;28000;Intel;Intel;;;
AMD Ryzen 7 PRO 2700X;CPU;2018-09-19;120;950;1920;48000;36000;GF;AMD;;;
AMD A6-4455M;CPU;2012-05-15;320;170;2460;11780;21000;Unknown;AMD;;;
Intel Pentium 4 1.3;CPU;2001-01-03;1800;520;2170;420;13000;Intel;Intel;;;
AMD EPYC 75F3;CPU;2021-03-15;70;2800;;;29500;TSMC;AMD;;;
AMD EPYC 7343;CPU;2021-03-15;70;1900;;;32000;TSMC;AMD;;;
AMD Z-60;CPU;2012-10-09;400;50;;;10000;Unknown;AMD;;;
AMD Phenom X4 9950 BE (140W);CPU;2008-03-27;650;1400;2850;4500;26000;Unknown;AMD;;;
AMD Athlon 64 X2 3800+;CPU;2006-05-23;900;890;2200;1540;20000;Unknown;AMD;;;
AMD Ryzen Embedded V1756B;CPU;2018-02-21;140;450;2100;49500;32500;GF;AMD;;;
AMD Turion 64 ML-32;CPU;2005-03-10;900;350;1250;1140;18000;Unknown;AMD;;;
Intel Xeon E5607;CPU;2011-02-14;320;800;2390;11700;22660;Intel;Intel;;;
AMD Ryzen 7 PRO 4750G;CPU;2020-07-21;70;650;;;36000;TSMC;AMD;;;
Intel Core i3-7100;CPU;2017-01-03;140;510;;;39000;Intel;Intel;;;
Intel Xeon Gold 6348H;CPU;2021-04-06;140;1650;;;23000;Intel;Intel;;;
AMD Sempron 180;CPU;2010-09-01;450;450;1170;2340;24000;Unknown;AMD;;;
AMD Athlon XP 2200+;CPU;2003-09-01;1300;630;;630;18000;Unknown;AMD;;;
AMD Opteron 840;CPU;2003-06-30;1300;850;1930;1060;14000;Unknown;AMD;;;
AMD Athlon II X2 215;CPU;2009-10-20;450;650;1170;4100;27000;Unknown;AMD;;;
Intel Core 2 Duo E4500;CPU;2007-07-22;650;650;1110;1670;22000;Intel;Intel;;;
AMD EPYC 7401;CPU;2017-06-29;140;1700;2130;48000;20000;GF;AMD;;;
AMD Athlon 64 3200+;CPU;2001-01-01;900;590;840;690;22000;Unknown;AMD;;;
Intel Pentium 4 1.5;CPU;2001-08-27;1800;580;2170;420;15000;Intel;Intel;;;
Intel Xeon L5530;CPU;2009-08-09;450;600;2630;7310;24000;Intel;Intel;;;
Intel Core 2 Extreme X7900;CPU;2007-08-01;650;440;1430;;28000;Intel;Intel;;;
AMD Phenom X3 8750;CPU;2008-04-23;650;950;2850;4500;24000;Unknown;AMD;;;
Intel Pentium 3550M;CPU;2013-09-01;220;370;1180;14000;23000;Intel;Intel;;;
AMD A4-5050;CPU;2014-02-01;320;150;2460;11780;15000;Unknown;AMD;;;
AMD Athlon 64 X2 5200+ EE;CPU;2006-09-06;900;650;2200;1540;26000;Unknown;AMD;;;
AMD Athlon 240GE;CPU;2018-12-21;140;350;1920;48000;35000;Unknown;AMD;;;
Intel Core i5-2320;CPU;2011-09-04;320;950;2160;11600;30000;Intel;Intel;;;
Intel Celeron 2.20;CPU;2002-11-20;1300;730;1460;550;22000;Intel;Intel;;;
Intel Core i7-10885H;CPU;2020-04-02;140;450;;;24000;Intel;Intel;;;
AMD Athlon 64 4000+;CPU;2004-10-19;1300;890;1930;1060;24000;Unknown;AMD;;;
AMD Athlon X2 BE-2350;CPU;2007-10-08;650;450;1260;1540;21000;Unknown;AMD;;;
AMD Opteron 150;CPU;2005-08-02;900;850;;1060;24000;Unknown;AMD;;;
AMD Athlon II X4 620e;CPU;2011-05-03;450;450;1690;3000;26000;Unknown;AMD;;;
Intel Atom Z530P;CPU;2009-03-02;450;20;260;470;16000;Intel;Intel;;;
Intel Pentium G4600;CPU;2017-01-03;140;510;;;36000;Intel;Intel;;;
Intel Pentium G4520;CPU;2015-09-01;140;510;1500;14000;36000;Intel;Intel;;;
Intel Xeon Platinum 8256;CPU;2018-12-11;140;1050;;80000;38000;Intel;Intel;;;
Intel Xeon Gold 6328H;CPU;2021-04-06;140;1650;;;28000;Intel;Intel;;;
AMD Ryzen 7 5800X;CPU;2020-11-05;70;1050;;;38000;TSMC;AMD;;;
AMD Athlon 64 2650e;CPU;2009-01-01;650;150;770;1220;16000;Unknown;AMD;;;
AMD Phenom II X3 B77;CPU;2010-05-11;450;950;2580;7580;32000;Unknown;AMD;;;
Intel Core i3-2350M;CPU;2011-10-01;320;350;1490;6240;23000;Intel;Intel;;;
AMD Opteron 852;CPU;2005-02-14;900;920;;1060;26000;Unknown;AMD;;;
AMD Sempron 3000+;CPU;2005-10-01;900;620;840;630;18000;Unknown;AMD;;;
AMD A6-5400K;CPU;2012-10-02;320;650;2460;11780;36000;Unknown;AMD;;;
Intel Mobile Pentium 4 HT 3.20;CPU;2003-09-23;1300;760;1310;550;32000;Intel;Intel;;;
AMD Athlon 1000;CPU;2000-06-05;1800;540;1200;370;10000;Unknown;AMD;;;
Intel Core i3-4370;CPU;2014-07-21;220;540;1770;14000;38000;Intel;Intel;;;
AMD Sempron 3300+;CPU;2005-04-01;900;620;840;630;20000;Unknown;AMD;;;
Intel Atom Z600;CPU;2010-05-04;450;10;650;1400;12000;Intel;Intel;;;
AMD Athlon 64 X2 5000+;CPU;2006-12-05;650;650;1260;1540;26000;Unknown;AMD;;;
AMD Sempron 3600+;CPU;2006-05-23;900;620;1030;810;20000;Unknown;AMD;;;
Intel Core i5-10200H;CPU;2020-09-17;140;450;;;24000;Intel;Intel;;;
AMD Opteron 154;CPU;2005-08-02;900;1040;;1060;28000;Unknown;AMD;;;
Intel Core i3-1000G1;CPU;2019-08-01;100;120;;;11000;Intel;Intel;;;
Intel Xeon MP 3.33;CPU;2005-03-29;900;1350;;2860;33330;Intel;Intel;;;
AMD Athlon 64 3800+;CPU;2007-02-20;900;620;2300;2270;24000;Unknown;AMD;;;
Intel Core i5-11400F;CPU;2021-03-16;140;650;;;26000;Intel;Intel;;;
Intel Xeon E5540;CPU;2009-03-30;450;800;2630;7310;25330;Intel;Intel;;;
Intel Xeon 3.4;CPU;2005-02-14;900;1350;1690;1780;34000;Intel;Intel;;;
Intel Core i7-5500U;CPU;2015-03-01;140;150;;;24000;Intel;Intel;;;
AMD Athlon II X3 460;CPU;2011-05-03;450;950;1690;3000;34000;Unknown;AMD;;;
Intel Atom Z520PT;CPU;2009-03-02;450;20;260;470;13340;Intel;Intel;;;
Intel Celeron G4900;CPU;2018-04-03;140;510;;;31000;Intel;Intel;;;
Intel Pentium 4 2.26;CPU;2002-01-07;1300;1100;1460;550;22610;Intel;Intel;;;
Intel Celeron G530T;CPU;2011-09-04;320;350;1310;5040;20000;Intel;Intel;;;
Intel Core i5-11500T;CPU;2021-03-16;140;350;;;15000;Intel;Intel;;;
Intel Core i5-8600;CPU;2018-02-14;140;650;;;31000;Intel;Intel;;;
AMD Phenom II X6 1065T;CPU;2010-12-07;450;1250;3460;9040;29000;Unknown;AMD;;;
Intel Core i5-5300U;CPU;2015-03-01;140;150;;;23000;Intel;Intel;;;
Intel Core i7-3840QM;CPU;2012-09-03;220;450;1600;14000;28000;Intel;Intel;;;
AMD Phenom II X2 550;CPU;2009-11-04;450;800;2580;7580;31000;Unknown;AMD;;;
Intel Xeon X5550;CPU;2009-03-30;450;950;2630;7310;26660;Intel;Intel;;;
Intel Core i7-930;CPU;2010-02-28;450;1300;2630;7310;28000;Intel;Intel;;;
Intel Pentium G870;CPU;2012-06-03;320;650;1310;5040;31000;Intel;Intel;;;
Intel Core i5-4440S;CPU;2013-09-01;220;650;1770;14000;28000;Intel;Intel;;;
Intel Xeon L5508;CPU;2009-03-30;450;380;2630;7310;20000;Intel;Intel;;;
AMD Phenom II X4 955 (95W);CPU;2009-04-01;450;950;2580;7580;32000;Unknown;AMD;;;
AMD Opteron X2 265 HE;CPU;2005-08-01;900;550;;2330;18000;Unknown;AMD;;;
AMD A8-3500M;CPU;2011-06-14;320;350;2280;11780;15000;Unknown;AMD;;;
Intel Pentium 4 HT 570;CPU;2004-06-21;900;1150;1090;1250;38000;Intel;Intel;;;
Intel Core i7-980X;CPU;2010-03-16;320;1300;2390;11700;33330;Intel;Intel;;;
AMD EPYC 7513;CPU;2021-03-15;70;2000;;;26000;TSMC;AMD;;;
AMD Ryzen Threadripper 2950X;CPU;2018-08-13;120;1800;2130;192000;35000;GF;AMD;;;
Intel Xeon MP 3.33;CPU;2005-03-29;900;1350;;;33330;Intel;Intel;;;
AMD A8-6600K;CPU;2013-06-01;320;1000;2460;11780;39000;Unknown;AMD;;;
AMD A8-3800;CPU;2011-06-30;320;650;2280;11780;24000;Unknown;AMD;;;
AMD Athlon XP 3200+;CPU;2001-01-01;1300;770;1010;630;22000;Unknown;AMD;;;
Intel Core i9-10900KF;CPU;2020-04-30;140;1250;;;37000;Intel;Intel;;;
AMD Athlon 64 2600+;CPU;2008-01-01;650;150;770;1220;16000;Unknown;AMD;;;
Intel Core i3-4360T;CPU;2014-07-21;220;350;1770;14000;32000;Intel;Intel;;;
Intel Xeon W3690;CPU;2011-02-14;320;1300;2390;11700;34660;Intel;Intel;;;
Intel Xeon Platinum 8368;CPU;2021-04-06;100;2700;;;24000;Intel;Intel;;;
AMD Athlon 650;CPU;2000-06-05;1800;380;1200;370;6500;Unknown;AMD;;;
AMD Sempron 3100+;CPU;2004-07-28;1300;620;1440;630;18000;Unknown;AMD;;;
AMD FX-6330;CPU;2015-12-15;320;1250;3150;12000;36000;Unknown;AMD;;;
AMD Athlon 64 FX-53;CPU;2004-06-01;1300;890;1930;1050;24000;Unknown;AMD;;;
AMD Turion X2 Ultra ZM-86;CPU;2008-06-01;650;350;;;24000;Unknown;AMD;;;
Intel Core 2 Extreme X9100;CPU;2008-07-01;450;440;1070;;30670;Intel;Intel;;;
Intel Xeon Gold 6338N;CPU;2021-04-06;100;1850;;;22000;Intel;Intel;;;
Intel Atom E645CT;CPU;2010-11-22;450;40;260;470;10000;Intel;Intel;;;
Intel Core 2 Quad Q9400S;CPU;2009-01-18;450;650;820;4560;26660;Intel;Intel;;;
Intel Core i7-4910MQ;CPU;2014-01-20;220;470;1770;14000;29000;Intel;Intel;;;
Intel Atom N450;CPU;2009-12-21;450;60;660;1230;16670;Intel;Intel;;;
Intel Pentium G620T;CPU;2011-05-22;320;350;1310;5040;22000;Intel;Intel;;;
AMD Athlon X4 940;CPU;2017-07-27;280;650;2460;11780;32000;Unknown;AMD;;;
AMD Athlon XP 1700+;CPU;2001-10-09;1800;640;1500;370;14670;Unknown;AMD;;;
AMD Opteron 254;CPU;2005-08-01;900;920;;1060;28000;Unknown;AMD;;;
Intel Xeon Silver 4310T;CPU;2021-04-06;100;1050;;;23000;Intel;Intel;;;
Intel Core i5-8350U;CPU;2017-08-21;140;150;1230;;17000;Intel;Intel;;;
Intel Xeon E3-1245;CPU;2011-04-03;320;950;2160;11600;33000;Intel;Intel;;;
Intel Core i9-10990XE;CPU;NaT;140;3800;;;40000;Intel;Intel;;;
Intel Core i5-5287U;CPU;2015-03-01;140;280;;;29000;Intel;Intel;;;
Intel Core 2 Solo ULV SU3300;CPU;2008-05-01;450;50;1070;4100;12000;Intel;Intel;;;
AMD Sempron LE-1200;CPU;2007-08-01;650;450;;;21000;Unknown;AMD;;;
Intel Core i5-8400H;CPU;2018-04-02;140;450;1260;;25000;Intel;Intel;;;
Intel Pentium 4 1.7;CPU;2001-08-27;1800;640;2170;420;17000;Intel;Intel;;;
AMD FX-8120;CPU;2011-10-12;320;1250;3150;12000;31000;Unknown;AMD;;;
AMD Ryzen 5 4500U;CPU;2020-01-06;70;250;1560;98000;23000;TSMC;AMD;;;
Intel Core i5-650;CPU;2010-01-07;320;730;810;3820;32000;Intel;Intel;;;
Intel Pentium 4-M 1.80;CPU;2002-04-23;1300;300;1310;550;18000;Intel;Intel;;;
Intel Celeron G440;CPU;2011-09-04;320;350;1310;5040;16000;Intel;Intel;;;
Intel Core Duo T2300;CPU;2006-01-05;650;310;900;1510;16600;Intel;Intel;;;
Intel Xeon W3505;CPU;2009-03-30;450;1300;2630;7310;25330;Intel;Intel;;;
AMD A6-6400K;CPU;2013-06-01;320;650;2460;11780;39000;Unknown;AMD;;;
Intel Xeon E3-1270;CPU;2011-04-03;320;800;2160;11600;34000;Intel;Intel;;;
AMD Athlon 64 FX-55;CPU;2004-10-10;1300;1040;1930;1050;26000;Unknown;AMD;;;
AMD A4-3330MX;CPU;2011-12-20;320;450;2280;11780;22000;Unknown;AMD;;;
Intel Xeon Gold 6330;CPU;2021-04-06;100;2050;;;20000;Intel;Intel;;;
AMD Phenom II X4 955 BE;CPU;2009-04-23;450;1250;2580;7580;32000;Unknown;AMD;;;
AMD Opteron 142;CPU;2003-06-30;1300;850;1930;1060;16000;Unknown;AMD;;;
AMD Opteron 240;CPU;2003-04-22;1300;850;1930;1060;14000;Unknown;AMD;;;
AMD Sempron 2200+;CPU;2004-07-28;1300;620;800;370;15000;Unknown;AMD;;;
Intel Core i5-3210M;CPU;2012-06-01;220;350;1180;;25000;Intel;Intel;;;
Intel Pentium B940;CPU;2011-06-19;320;350;1310;5040;20000;Intel;Intel;;;
Intel Core i3-3220;CPU;2012-09-03;220;550;940;;33000;Intel;Intel;;;
AMD EPYC 7282;CPU;2019-08-07;70;1200;740;38000;28000;TSMC;AMD;;;
